iter	Passed	Remaining
0	30	30826
1	64	32184
2	96	32148
3	127	31854
4	174	34735
5	206	34230
6	237	33638
7	268	33306
8	298	32838
9	329	32656
10	360	32439
11	390	32163
12	423	32125
13	454	31997
14	486	31947
15	516	31785
16	548	31699
17	580	31657
18	610	31539
19	644	31559
20	676	31537
21	707	31447
22	738	31382
23	769	31304
24	800	31227
25	839	31450
26	871	31411
27	901	31307
28	931	31177
29	961	31075
30	992	31038
31	1023	30958
32	1060	31066
33	1090	30970
34	1120	30901
35	1153	30885
36	1185	30861
37	1216	30797
38	1246	30702
39	1277	30658
40	1308	30597
41	1339	30557
42	1369	30486
43	1398	30390
44	1428	30312
45	1459	30267
46	1491	30237
47	1522	30187
48	1552	30121
49	1582	30068
50	1613	30031
51	1648	30049
52	1681	30043
53	1713	30013
54	1745	29982
55	1777	29956
56	1808	29918
57	1839	29876
58	1872	29857
59	1903	29816
60	1934	29779
61	1966	29748
62	1998	29718
63	2028	29671
64	2063	29689
65	2096	29661
66	2129	29654
67	2161	29632
68	2193	29598
69	2215	29436
70	2248	29416
71	2280	29394
72	2311	29348
73	2343	29326
74	2376	29308
75	2409	29294
76	2440	29256
77	2472	29221
78	2504	29196
79	2535	29162
80	2568	29140
81	2600	29109
82	2633	29097
83	2672	29147
84	2704	29116
85	2737	29093
86	2762	28994
87	2794	28960
88	2827	28943
89	2857	28892
90	2889	28863
91	2922	28840
92	2953	28806
93	2984	28769
94	3016	28737
95	3047	28701
96	3079	28667
97	3112	28650
98	3144	28616
99	3175	28576
100	3206	28545
101	3239	28524
102	3271	28492
103	3303	28461
104	3333	28417
105	3365	28387
106	3397	28354
107	3429	28327
108	3441	28129
109	3473	28106
110	3505	28078
111	3537	28046
112	3569	28021
113	3626	28183
114	3673	28266
115	3707	28250
116	3738	28215
117	3770	28184
118	3803	28162
119	3848	28222
120	3883	28209
121	3916	28187
122	3950	28169
123	3988	28174
124	4027	28189
125	4068	28217
126	4108	28240
127	4141	28211
128	4175	28193
129	4214	28201
130	4245	28165
131	4277	28130
132	4309	28090
133	4340	28053
134	4371	28012
135	4404	27981
136	4437	27954
137	4468	27912
138	4499	27870
139	4531	27839
140	4562	27795
141	4595	27766
142	4629	27745
143	4663	27719
144	4696	27690
145	4727	27654
146	4757	27606
147	4789	27574
148	4821	27540
149	4854	27506
150	4885	27471
151	4918	27441
152	4953	27421
153	4982	27369
154	5013	27331
155	5043	27288
156	5077	27260
157	5108	27224
158	5141	27195
159	5173	27161
160	5205	27126
161	5237	27094
162	5270	27064
163	5302	27027
164	5334	26994
165	5366	26962
166	5398	26925
167	5428	26882
168	5460	26848
169	5492	26815
170	5522	26774
171	5554	26740
172	5587	26710
173	5622	26690
174	5655	26663
175	5689	26635
176	5706	26532
177	5738	26500
178	5770	26465
179	5801	26427
180	5832	26393
181	5871	26389
182	5903	26354
183	5934	26320
184	5966	26283
185	5999	26257
186	6032	26226
187	6064	26193
188	6096	26158
189	6128	26126
190	6159	26090
191	6189	26049
192	6222	26016
193	6252	25978
194	6282	25935
195	6314	25901
196	6347	25872
197	6380	25845
198	6411	25805
199	6441	25765
200	6473	25731
201	6503	25690
202	6520	25601
203	6551	25565
204	6584	25533
205	6617	25507
206	6650	25476
207	6683	25446
208	6715	25417
209	6747	25381
210	6779	25349
211	6814	25329
212	6853	25323
213	6887	25296
214	6918	25260
215	6950	25226
216	6980	25188
217	7013	25158
218	7043	25116
219	7073	25079
220	7103	25038
221	7134	25004
222	7165	24965
223	7196	24930
224	7230	24905
225	7262	24871
226	7294	24841
227	7326	24808
228	7358	24775
229	7399	24770
230	7431	24738
231	7462	24704
232	7495	24674
233	7528	24644
234	7560	24612
235	7593	24583
236	7628	24559
237	7662	24533
238	7695	24502
239	7707	24407
240	7739	24374
241	7771	24341
242	7801	24304
243	7833	24271
244	7864	24235
245	7897	24206
246	7928	24171
247	7960	24138
248	7994	24111
249	8026	24079
250	8057	24044
251	8090	24015
252	8122	23982
253	8155	23952
254	8184	23912
255	8216	23879
256	8250	23851
257	8282	23819
258	8313	23785
259	8343	23747
260	8377	23720
261	8409	23688
262	8441	23656
263	8471	23617
264	8504	23588
265	8536	23555
266	8567	23520
267	8598	23485
268	8631	23456
269	8664	23425
270	8696	23394
271	8729	23363
272	8759	23327
273	8788	23286
274	8820	23254
275	8852	23222
276	8884	23189
277	8917	23158
278	8948	23124
279	8965	23053
280	8996	23018
281	9028	22986
282	9060	22954
283	9091	22921
284	9124	22890
285	9136	22810
286	9167	22774
287	9198	22741
288	9232	22713
289	9264	22680
290	9295	22648
291	9326	22614
292	9348	22558
293	9378	22520
294	9408	22485
295	9440	22452
296	9472	22420
297	9503	22386
298	9534	22354
299	9568	22325
300	9598	22291
301	9632	22262
302	9663	22229
303	9696	22198
304	9728	22167
305	9760	22135
306	9792	22104
307	9830	22087
308	9862	22054
309	9896	22026
310	9927	21992
311	9958	21960
312	9991	21930
313	10023	21897
314	10054	21864
315	10086	21833
316	10119	21802
317	10149	21766
318	10180	21734
319	10213	21704
320	10244	21670
321	10274	21634
322	10306	21602
323	10337	21568
324	10370	21537
325	10399	21501
326	10432	21471
327	10462	21435
328	10495	21405
329	10526	21371
330	10556	21336
331	10586	21301
332	10618	21269
333	10651	21238
334	10682	21205
335	10713	21172
336	10746	21141
337	10778	21110
338	10809	21076
339	10840	21044
340	10871	21010
341	10903	20978
342	10935	20946
343	10967	20915
344	10998	20881
345	11030	20849
346	11062	20818
347	11094	20787
348	11125	20752
349	11158	20723
350	11190	20691
351	11221	20657
352	11252	20624
353	11284	20593
354	11316	20561
355	11348	20529
356	11381	20500
357	11413	20468
358	11445	20435
359	11476	20402
360	11508	20371
361	11540	20338
362	11572	20306
363	11603	20274
364	11634	20240
365	11667	20211
366	11702	20183
367	11735	20153
368	11766	20121
369	11798	20088
370	11828	20054
371	11860	20022
372	11891	19989
373	11923	19956
374	11955	19925
375	11987	19894
376	12019	19862
377	12051	19830
378	12082	19798
379	12116	19769
380	12149	19739
381	12181	19706
382	12212	19674
383	12244	19642
384	12274	19607
385	12306	19576
386	12339	19544
387	12370	19512
388	12402	19480
389	12434	19448
390	12465	19415
391	12496	19382
392	12527	19349
393	12557	19313
394	12588	19280
395	12621	19250
396	12655	19221
397	12686	19188
398	12718	19157
399	12752	19128
400	12787	19100
401	12825	19078
402	12857	19047
403	12889	19015
404	12920	18981
405	12952	18949
406	12983	18916
407	13014	18884
408	13047	18853
409	13077	18819
410	13110	18788
411	13142	18757
412	13174	18724
413	13206	18692
414	13236	18659
415	13269	18628
416	13301	18597
417	13332	18563
418	13363	18530
419	13394	18497
420	13426	18465
421	13458	18433
422	13488	18399
423	13519	18366
424	13551	18334
425	13582	18301
426	13615	18271
427	13651	18243
428	13682	18211
429	13713	18178
430	13753	18157
431	13791	18132
432	13825	18104
433	13858	18072
434	13890	18042
435	13922	18009
436	13975	18005
437	14015	17982
438	14055	17961
439	14093	17936
440	14126	17906
441	14165	17882
442	14207	17863
443	14242	17834
444	14274	17802
445	14305	17770
446	14338	17739
447	14371	17707
448	14401	17673
449	14432	17639
450	14473	17618
451	14505	17586
452	14538	17555
453	14570	17522
454	14602	17491
455	14638	17463
456	14671	17432
457	14703	17400
458	14737	17370
459	14768	17336
460	14800	17304
461	14833	17273
462	14864	17240
463	14896	17207
464	14928	17176
465	14959	17142
466	14991	17110
467	15023	17078
468	15054	17044
469	15085	17011
470	15117	16979
471	15149	16946
472	15180	16913
473	15210	16879
474	15243	16847
475	15274	16814
476	15310	16787
477	15342	16754
478	15373	16721
479	15405	16689
480	15438	16658
481	15469	16624
482	15500	16591
483	15531	16558
484	15564	16526
485	15596	16494
486	15628	16463
487	15661	16431
488	15693	16399
489	15726	16367
490	15758	16336
491	15791	16304
492	15831	16280
493	15863	16248
494	15894	16215
495	15925	16182
496	15956	16149
497	15989	16117
498	16021	16085
499	16052	16052
500	16086	16022
501	16118	15989
502	16164	15971
503	16196	15939
504	16229	15907
505	16261	15876
506	16295	15845
507	16328	15813
508	16359	15780
509	16392	15749
510	16421	15714
511	16452	15680
512	16484	15649
513	16516	15617
514	16548	15584
515	16581	15552
516	16616	15523
517	16650	15492
518	16680	15458
519	16712	15426
520	16742	15392
521	16770	15357
522	16803	15325
523	16835	15292
524	16865	15259
525	16896	15226
526	16930	15195
527	16963	15164
528	16994	15131
529	17025	15098
530	17058	15066
531	17088	15033
532	17120	15000
533	17151	14967
534	17182	14933
535	17212	14900
536	17243	14867
537	17274	14834
538	17306	14801
539	17338	14769
540	17370	14737
541	17403	14705
542	17434	14673
543	17466	14641
544	17498	14609
545	17531	14577
546	17563	14545
547	17597	14514
548	17630	14483
549	17663	14451
550	17694	14419
551	17726	14386
552	17758	14354
553	17790	14322
554	17820	14288
555	17852	14256
556	17884	14224
557	17915	14191
558	17945	14157
559	17978	14125
560	18009	14092
561	18039	14059
562	18072	14027
563	18103	13995
564	18131	13959
565	18161	13926
566	18191	13892
567	18223	13860
568	18254	13827
569	18286	13795
570	18319	13764
571	18353	13732
572	18382	13698
573	18415	13666
574	18447	13634
575	18478	13602
576	18509	13569
577	18541	13537
578	18572	13504
579	18606	13473
580	18640	13442
581	18670	13409
582	18700	13375
583	18733	13344
584	18769	13315
585	18808	13287
586	18839	13254
587	18870	13221
588	18901	13189
589	18933	13157
590	18965	13125
591	18997	13092
592	19028	13060
593	19060	13027
594	19091	12995
